ID,Value,Division
1,3,"C1"
2,5,"C1"
3,1,"C1"
4,1,"C1"
5,5,"C1"
6,1,"C1"
7,5,"C1"
8,3,"C1"
9,4,"C1"
10,5,"C1"
11,1,"C1"
12,3,"C1"
13,3,"C1"
14,3,"C1"
15,1,"C1"
16,5,"C1"
17,1,"C1"
18,3,"C1"
19,1,"C1"
20,4,"C1"
21,2,"C1"
22,2,"C1"
23,4,"C1"
24,2,"C1"
25,4,"C1"
26,5,"C1"
27,5,"C1"
28,2,"C1"
29,5,"C1"
30,5,"C1"
31,5,"C1"
32,4,"C1"
33,3,"C1"
34,3,"C1"
35,1,"C1"
36,3,"C1"
37,4,"C1"
38,3,"C1"
39,4,"C1"
40,5,"C1"
41,5,"C1"
42,5,"C1"
43,1,"C1"
44,3,"C1"
45,3,"C1"
46,4,"C1"
47,2,"C1"
48,1,"C1"
49,5,"C1"
50,1,"C1"
51,1,"C1"
52,3,"C1"
53,3,"C1"
54,5,"C1"
55,1,"C1"
56,4,"C1"
57,4,"C1"
58,1,"C1"
59,3,"C1"
60,1,"C1"
61,1,"C1"
62,3,"C1"
63,3,"C1"
64,4,"C1"
65,2,"C1"
66,3,"C1"
67,4,"C1"
68,2,"C1"
69,1,"C1"
70,1,"C1"
71,1,"C1"
72,5,"C1"
73,4,"C1"
74,4,"C1"
75,2,"C1"
76,4,"C1"
77,1,"C1"
78,5,"C1"
79,5,"C1"
80,4,"C1"
81,1,"C1"
82,2,"C1"
83,5,"C1"
84,5,"C1"
85,4,"C1"
86,1,"C1"
87,4,"C1"
88,4,"C1"
89,2,"C1"
90,2,"C1"
91,1,"C1"
92,5,"C1"
93,2,"C1"
94,2,"C1"
95,5,"C1"
96,3,"C1"
97,4,"C1"
98,2,"C1"
99,3,"C1"
100,5,"C1"
