CUSTID,DATE,PRODUCTID,大分類,中分類,数量,単価,小計
100012,2021-01-25,9903129,"アクセサリ","アクセサリ05",6,366,2196
100012,2021-01-25,9900921,"インナーウエア","インナーウエア01",4,552,2208
100012,2021-02-10,9903977,"アクセサリ","アクセサリ05",3,638,1914
100012,2021-02-10,9901830,"インナーウエア","インナーウエア06",2,590,1180
100012,2021-02-10,9912013,"インナーウエア","インナーウエア01",8,545,4360
100012,2021-02-16,9903110,"食品","食品12",5,2330,11650
100012,2021-03-28,9907258,"化粧品","化粧品08",1,1425,1425
100012,2021-03-28,9900277,"化粧品","化粧品01",2,805,1610
100012,2021-03-28,9904282,"食品","食品12",5,537,2685
100012,2021-03-31,9900318,"食品","食品12",50,94,4700
100012,2021-03-31,9900208,"婦人服","婦人服03",2,1780,3560
