ID,Value,Division
1,1,"C2"
2,3,"C2"
3,3,"C2"
4,1,"C2"
5,3,"C2"
6,5,"C2"
7,1,"C2"
8,5,"C2"
9,1,"C2"
10,2,"C2"
11,2,"C2"
12,1,"C2"
13,2,"C2"
14,4,"C2"
15,1,"C2"
16,2,"C2"
17,3,"C2"
18,1,"C2"
19,1,"C2"
20,2,"C2"
21,2,"C2"
22,2,"C2"
23,5,"C2"
24,1,"C2"
25,5,"C2"
26,4,"C2"
27,1,"C2"
28,4,"C2"
29,5,"C2"
30,2,"C2"
31,3,"C2"
32,1,"C2"
33,3,"C2"
34,1,"C2"
35,1,"C2"
36,5,"C2"
37,1,"C2"
38,2,"C2"
39,1,"C2"
40,4,"C2"
41,1,"C2"
42,5,"C2"
43,3,"C2"
44,5,"C2"
45,3,"C2"
46,1,"C2"
47,3,"C2"
48,4,"C2"
49,3,"C2"
50,5,"C2"
51,1,"C2"
52,5,"C2"
53,5,"C2"
54,4,"C2"
55,3,"C2"
56,3,"C2"
57,1,"C2"
58,5,"C2"
59,4,"C2"
60,2,"C2"
61,2,"C2"
62,4,"C2"
63,1,"C2"
64,1,"C2"
65,1,"C2"
66,3,"C2"
67,3,"C2"
68,5,"C2"
69,4,"C2"
70,2,"C2"
71,1,"C2"
72,5,"C2"
73,3,"C2"
74,2,"C2"
75,4,"C2"
76,4,"C2"
77,4,"C2"
78,1,"C2"
79,1,"C2"
80,2,"C2"
81,2,"C2"
82,1,"C2"
83,1,"C2"
84,1,"C2"
85,4,"C2"
86,2,"C2"
87,4,"C2"
88,3,"C2"
89,3,"C2"
90,2,"C2"
91,2,"C2"
92,4,"C2"
93,2,"C2"
94,5,"C2"
95,4,"C2"
96,3,"C2"
97,1,"C2"
98,3,"C2"
99,4,"C2"
100,4,"C2"
