顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140012,2025-10-05,"お弁当・おむすび","直巻きおにぎり",9914884,1,538,538
140046,2025-10-05,"ホットスナック","チキン",9900655,1,431,431
140055,2025-10-05,"パン・デザート","サンドイッチ",9933640,1,505,505
140065,2025-10-05,"パン・デザート","サンドイッチ",9900277,4,830,3320
140186,2025-10-05,"パン・デザート","惣菜パン",9902697,1,420,420
140186,2025-10-05,"パン・デザート","惣菜パン",9900990,2,123,246
140234,2025-10-05,"パン・デザート","惣菜パン",9907556,2,220,440
140238,2025-10-05,"飲料・お酒","缶ビール",9903593,2,105,210
140248,2025-10-05,"飲料・お酒","清涼飲料",9900200,5,598,2990
140248,2025-10-05,"パン・デザート","ケーキ",9901010,1,123,123
140293,2025-10-05,"パン・デザート","ケーキ",9910336,1,177,177
140293,2025-10-05,"パン・デザート","ケーキ",9915400,1,267,267
140293,2025-10-05,"コンビニウェア・日用品","靴下",9900208,1,198,198
140337,2025-10-05,"パン・デザート","シュークリーム",9902695,1,250,250
140337,2025-10-05,"パン・デザート","タルト",9908527,5,360,1800
140369,2025-10-05,"飲料・お酒","清涼飲料",9900353,1,449,449
140369,2025-10-05,"パン・デザート","タルト",9900220,5,102,510
140415,2025-10-05,"コンビニウェア・日用品","靴下",9900172,4,388,1552
140419,2025-10-05,"お弁当・おむすび","ボリューム丼",9906281,1,105,105
140419,2025-10-05,"コーヒー","アイスコーヒー",9903326,3,600,1800
140461,2025-10-05,"コーヒー","ブレンドコーヒー",9903081,1,178,178
140461,2025-10-05,"コーヒー","ブレンドコーヒー",9900411,5,220,1100
140482,2025-10-05,"コンビニウェア・日用品","靴下",9904171,1,169,169
140575,2025-10-05,"パン・デザート","どら焼き",9907491,1,100,100
140579,2025-10-05,"お弁当・おむすび","ガツうまおにぎり",9900013,1,465,465
140579,2025-10-05,"パン・デザート","パフェ",9900607,3,350,1050
140585,2025-10-05,"コーヒー","アイスコーヒー",9900912,1,193,193
140585,2025-10-05,"コンビニウェア・日用品","靴下",9900739,1,198,198
140592,2025-10-05,"コーヒー","アイスコーヒー",9904965,1,178,178
140592,2025-10-05,"パン・デザート","パフェ",9911546,1,167,167
140592,2025-10-05,"パン・デザート","パフェ",9911997,1,172,172
140592,2025-10-05,"パン・デザート","シュークリーム",9902500,1,108,108
140648,2025-10-05,"コンビニウェア・日用品","靴下",9905350,1,156,156
140702,2025-10-05,"飲料・お酒","缶ビール",9926602,1,182,182
140702,2025-10-05,"日配品・冷凍食品","カップアイス",9938565,1,217,217
140706,2025-10-05,"パン・デザート","パフェ",9901844,8,400,3200
140706,2025-10-05,"パン・デザート","惣菜パン",9904635,1,616,616
140713,2025-10-05,"日配品・冷凍食品","カップアイス",9900230,1,238,238
140758,2025-10-05,"コンビニウェア・日用品","靴下",9905020,1,312,312
140859,2025-10-05,"飲料・お酒","清涼飲料",9900475,1,290,290
140906,2025-10-05,"コーヒー","ブレンドコーヒー",9900871,2,480,960
140906,2025-10-05,"日配品・冷凍食品","カップアイス",9900229,1,550,550
140906,2025-10-05,"コーヒー","ブレンドコーヒー",9901179,1,580,580
140936,2025-10-05,"日配品・冷凍食品","カップアイス",9923319,3,179,537
140939,2025-10-05,"コーヒー","ブレンドコーヒー",9901359,2,720,1440
140944,2025-10-05,"コンビニウェア・日用品","靴下",9901176,1,307,307
140964,2025-10-05,"飲料・お酒","缶ビール",9911904,1,161,161
140964,2025-10-05,"お弁当・おむすび","惣菜おにぎり",9916515,1,189,189
140964,2025-10-05,"飲料・お酒","缶ビール",9912158,1,114,114
140988,2025-10-05,"飲料・お酒","清涼飲料",9900200,3,598,1794
140988,2025-10-05,"日配品・冷凍食品","カップアイス",9901528,2,860,1720
141136,2025-10-05,"飲料・お酒","清涼飲料",9911172,1,783,783
141136,2025-10-05,"コンビニウェア・日用品","靴下",9900067,2,650,1300
141136,2025-10-05,"日配品・冷凍食品","カップアイス",9915935,1,257,257
141136,2025-10-05,"コンビニウェア・日用品","靴下",9901728,2,144,288
141167,2025-10-05,"コーヒー","ブレンドコーヒー",9903697,8,410,3280
141210,2025-10-05,"コンビニウェア・日用品","靴下",9900171,1,159,159
141222,2025-10-05,"飲料・お酒","清涼飲料",9900200,7,598,4186
141275,2025-10-05,"パン・デザート","パフェ",9907078,8,440,3520
141275,2025-10-05,"パン・デザート","パフェ",9907929,7,440,3080
141293,2025-10-05,"パン・デザート","惣菜パン",9902307,1,118,118
141293,2025-10-05,"パン・デザート","惣菜パン",9909282,5,298,1490
141307,2025-10-05,"飲料・お酒","チューハイ",9901863,5,331,1655
141395,2025-10-05,"飲料・お酒","缶ビール",9939272,1,533,533
141395,2025-10-05,"飲料・お酒","缶ビール",9909802,1,533,533
141403,2025-10-05,"飲料・お酒","清涼飲料",9901685,3,150,450
141403,2025-10-05,"飲料・お酒","清涼飲料",9900028,3,560,1680
141403,2025-10-05,"コンビニウェア・日用品","靴下",9900171,1,159,159
141415,2025-10-05,"パン・デザート","シュークリーム",9900227,6,650,3900
141423,2025-10-05,"コンビニウェア・日用品","靴下",9900208,4,198,792
141429,2025-10-05,"飲料・お酒","清涼飲料",9900353,1,449,449
141490,2025-10-05,"お弁当・おむすび","定番弁当",9901718,1,132,132
141490,2025-10-05,"コーヒー","ブレンドコーヒー",9900830,1,480,480
141516,2025-10-05,"コンビニウェア・日用品","靴下",9900208,2,198,396
141517,2025-10-05,"飲料・お酒","清涼飲料",9906604,1,242,242
141584,2025-10-05,"飲料・お酒","清涼飲料",9903632,3,107,321
141584,2025-10-05,"コンビニウェア・日用品","靴下",9901329,1,300,300
141585,2025-10-05,"コンビニウェア・日用品","靴下",9900208,5,198,990
141641,2025-10-05,"コンビニウェア・日用品","靴下",9900171,1,159,159
141657,2025-10-05,"日配品・冷凍食品","カップアイス",9939572,1,909,909
141679,2025-10-05,"コーヒー","アイスコーヒー",9901792,6,500,3000
141719,2025-10-05,"パン・デザート","どら焼き",9917728,2,170,340
141719,2025-10-05,"パン・デザート","どら焼き",9907489,2,230,460
141719,2025-10-05,"パン・デザート","どら焼き",9901797,2,247,494
141719,2025-10-05,"パン・デザート","どら焼き",9909816,1,166,166
141719,2025-10-05,"パン・デザート","どら焼き",9917732,2,108,216
141723,2025-10-05,"お弁当・おむすび","直巻きおにぎり",9901412,2,495,990
141776,2025-10-05,"日配品・冷凍食品","カップアイス",9901779,1,238,238
141848,2025-10-05,"コンビニウェア・日用品","靴下",9900172,5,388,1940
141850,2025-10-05,"日配品・冷凍食品","カップアイス",9900223,1,149,149
141850,2025-10-05,"コンビニウェア・日用品","靴下",9901462,1,198,198
142003,2025-10-05,"お弁当・おむすび","手巻き寿司",9939870,2,266,532
142098,2025-10-05,"パン・デザート","シュークリーム",9900227,4,650,2600
142098,2025-10-05,"コンビニウェア・日用品","傘",9901855,6,277,1662
142103,2025-10-05,"ホットスナック","チキン",9900770,1,440,440
142103,2025-10-05,"飲料・お酒","天然水",9900549,1,320,320
142103,2025-10-05,"飲料・お酒","清涼飲料",9900200,2,598,1196
142212,2025-10-05,"日配品・冷凍食品","カップアイス",9900230,1,238,238
142241,2025-10-05,"コンビニウェア・日用品","靴下",9900171,1,159,159
142279,2025-10-05,"ホットスナック","チキン",9905186,1,196,196
142279,2025-10-05,"飲料・お酒","チューハイ",9913883,1,145,145
142318,2025-10-05,"パン・デザート","惣菜パン",9908651,1,957,957
142331,2025-10-05,"日配品・冷凍食品","カップアイス",9915013,1,131,131
142333,2025-10-05,"日配品・冷凍食品","カップアイス",9902240,1,372,372
142374,2025-10-05,"コンビニウェア・日用品","靴下",9902837,2,169,338
142420,2025-10-05,"コーヒー","ブレンドコーヒー",9900905,6,360,2160
142433,2025-10-05,"飲料・お酒","清涼飲料",9900295,1,190,190
142433,2025-10-05,"パン・デザート","ホットドッグ",9909162,2,131,262
142433,2025-10-05,"コーヒー","ブレンドコーヒー",9901448,1,236,236
142509,2025-10-05,"日配品・冷凍食品","カップアイス",9900867,2,132,264
142530,2025-10-05,"パン・デザート","惣菜パン",9919021,5,475,2375
142530,2025-10-05,"日配品・冷凍食品","カップアイス",9905129,1,732,732
