顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140001,2025-10-03,"お弁当・おむすび","定番弁当",9903857,5,479,2395
140111,2025-10-03,"パン・デザート","菓子パン",9901424,1,299,299
140301,2025-10-03,"お弁当・おむすび","ボリューム丼",9900826,1,853,853
140301,2025-10-03,"コンビニウェア・日用品","靴下",9904233,1,646,646
140303,2025-10-03,"飲料・お酒","缶ビール",9926343,2,109,218
140303,2025-10-03,"お弁当・おむすび","直巻きおにぎり",9919463,8,200,1600
140303,2025-10-03,"お弁当・おむすび","直巻きおにぎり",9903962,1,89,89
140303,2025-10-03,"パン・デザート","惣菜パン",9905421,1,349,349
140373,2025-10-03,"コンビニウェア・日用品","靴下",9900172,1,378,378
140501,2025-10-03,"パン・デザート","パフェ",9900449,2,304,608
140501,2025-10-03,"コーヒー","ブレンドコーヒー",9900236,1,122,122
140575,2025-10-03,"コンビニウェア・日用品","靴下",9908327,1,361,361
140575,2025-10-03,"コンビニウェア・日用品","靴下",9900208,1,188,188
140624,2025-10-03,"コーヒー","アイスコーヒー",9902885,2,770,1540
140624,2025-10-03,"コーヒー","アイスコーヒー",9900810,5,212,1060
140624,2025-10-03,"コーヒー","アイスコーヒー",9900088,2,903,1806
140624,2025-10-03,"コーヒー","アイスコーヒー",9902888,2,618,1236
140624,2025-10-03,"コーヒー","アイスコーヒー",9900589,2,703,1406
140624,2025-10-03,"コーヒー","ブレンドコーヒー",9910983,1,121,121
140624,2025-10-03,"コーヒー","ブレンドコーヒー",9903552,1,814,814
140626,2025-10-03,"お弁当・おむすび","直巻きおにぎり",9938525,3,370,1110
140626,2025-10-03,"コーヒー","ブレンドコーヒー",9900450,1,47,47
140736,2025-10-03,"パン・デザート","シュークリーム",9900227,4,779,3116
140895,2025-10-03,"ホットスナック","チキン",9912757,1,125,125
140895,2025-10-03,"飲料・お酒","天然水",9904669,1,189,189
140936,2025-10-03,"パン・デザート","惣菜パン",9910400,1,100,100
140936,2025-10-03,"パン・デザート","サンドイッチ",9900274,2,751,1502
140936,2025-10-03,"パン・デザート","惣菜パン",9910399,1,100,100
140957,2025-10-03,"日配品・冷凍食品","カップアイス",9938828,3,778,2334
141023,2025-10-03,"飲料・お酒","チューハイ",9919317,4,295,1180
141023,2025-10-03,"飲料・お酒","チューハイ",9908894,4,371,1484
141023,2025-10-03,"お弁当・おむすび","ボリューム丼",9912134,1,453,453
141023,2025-10-03,"飲料・お酒","チューハイ",9908489,1,241,241
141023,2025-10-03,"お弁当・おむすび","おかずセットおにぎり",9911542,1,204,204
141023,2025-10-03,"コンビニウェア・日用品","靴下",9900208,2,188,376
141464,2025-10-03,"飲料・お酒","缶コーヒー",9937700,1,793,793
141464,2025-10-03,"飲料・お酒","ハイボール",9923100,2,532,1064
141464,2025-10-03,"コンビニウェア・日用品","靴下",9900172,2,378,756
141805,2025-10-03,"パン・デザート","シュークリーム",9939761,1,708,708
141805,2025-10-03,"パン・デザート","シュークリーム",9931150,1,111,111
