顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140054,2025-10-07,"ホットスナック","チキン",9900840,1,418,418
140064,2025-10-07,"コンビニウェア・日用品","靴下",9904138,2,569,1138
140064,2025-10-07,"日配品・冷凍食品","カップアイス",9902239,1,366,366
140111,2025-10-07,"お弁当・おむすび","定番弁当",9902270,1,526,526
140111,2025-10-07,"お弁当・おむすび","定番弁当",9936420,1,438,438
140111,2025-10-07,"お弁当・おむすび","定番弁当",9902296,1,438,438
140111,2025-10-07,"お弁当・おむすび","定番弁当",9938028,1,438,438
140111,2025-10-07,"お弁当・おむすび","定番弁当",9902328,1,438,438
140111,2025-10-07,"飲料・お酒","チューハイ",9912223,1,380,380
140111,2025-10-07,"お弁当・おむすび","定番弁当",9902304,1,423,423
140111,2025-10-07,"飲料・お酒","チューハイ",9925293,2,213,426
140111,2025-10-07,"飲料・お酒","チューハイ",9907087,2,380,760
140111,2025-10-07,"お弁当・おむすび","定番弁当",9902301,1,423,423
140217,2025-10-07,"飲料・お酒","清涼飲料",9900200,2,598,1196
140217,2025-10-07,"コーヒー","ブレンドコーヒー",9901959,1,271,271
140303,2025-10-07,"お弁当・おむすび","直巻きおにぎり",9902022,6,388,2328
140303,2025-10-07,"飲料・お酒","チューハイ",9904461,5,291,1455
140328,2025-10-07,"ホットスナック","チキン",9913498,1,250,250
140328,2025-10-07,"コンビニウェア・日用品","靴下",9905029,6,640,3840
140368,2025-10-07,"ホットスナック","チキン",9900654,1,149,149
140368,2025-10-07,"コンビニウェア・日用品","靴下",9900172,1,388,388
140415,2025-10-07,"日配品・冷凍食品","カップアイス",9902717,1,184,184
140415,2025-10-07,"日配品・冷凍食品","カップアイス",9915206,2,184,368
140415,2025-10-07,"日配品・冷凍食品","カップアイス",9915207,2,184,368
140418,2025-10-07,"日配品・冷凍食品","カップアイス",9900318,2,94,188
140418,2025-10-07,"コンビニウェア・日用品","靴下",9900172,1,388,388
140507,2025-10-07,"パン・デザート","サンドイッチ",9911717,1,157,157
140544,2025-10-07,"コンビニウェア・日用品","靴下",9901266,1,114,114
140587,2025-10-07,"コンビニウェア・日用品","傘",9906923,1,270,270
140587,2025-10-07,"コンビニウェア・日用品","傘",9905325,5,111,555
140587,2025-10-07,"コンビニウェア・日用品","傘",9916871,2,756,1512
140587,2025-10-07,"コンビニウェア・日用品","傘",9906928,6,315,1890
140587,2025-10-07,"コンビニウェア・日用品","傘",9906917,6,238,1428
140608,2025-10-07,"パン・デザート","プリン",9903093,1,550,550
140656,2025-10-07,"ホットスナック","チキン",9910289,8,266,2128
140682,2025-10-07,"日配品・冷凍食品","カップアイス",9900230,1,238,238
140682,2025-10-07,"日配品・冷凍食品","カップアイス",9901779,1,238,238
140692,2025-10-07,"日配品・冷凍食品","カップアイス",9900318,1,94,94
140725,2025-10-07,"パン・デザート","パフェ",9902991,1,240,240
140725,2025-10-07,"日配品・冷凍食品","カップアイス",9903467,1,168,168
140750,2025-10-07,"ホットスナック","チキン",9900770,6,440,2640
140750,2025-10-07,"コンビニウェア・日用品","靴下",9900382,5,249,1245
140750,2025-10-07,"コンビニウェア・日用品","靴下",9900594,1,249,249
140750,2025-10-07,"コンビニウェア・日用品","靴下",9900369,1,249,249
140750,2025-10-07,"コンビニウェア・日用品","靴下",9900306,1,249,249
140780,2025-10-07,"コンビニウェア・日用品","靴下",9900171,1,159,159
140800,2025-10-07,"飲料・お酒","清涼飲料",9900200,2,598,1196
140800,2025-10-07,"飲料・お酒","清涼飲料",9900475,1,290,290
140891,2025-10-07,"パン・デザート","ケーキ",9901010,1,123,123
140891,2025-10-07,"コンビニウェア・日用品","靴下",9900171,1,159,159
140939,2025-10-07,"飲料・お酒","ハイボール",9915272,8,292,2336
140981,2025-10-07,"パン・デザート","どら焼き",9917732,3,108,324
141009,2025-10-07,"飲料・お酒","清涼飲料",9900200,6,598,3588
141009,2025-10-07,"コンビニウェア・日用品","靴下",9904136,1,196,196
141028,2025-10-07,"ホットスナック","チキン",9900770,7,440,3080
141028,2025-10-07,"コーヒー","ブレンドコーヒー",9900232,1,220,220
141050,2025-10-07,"コーヒー","アイスコーヒー",9900450,2,47,94
141105,2025-10-07,"パン・デザート","惣菜パン",9900491,1,135,135
141108,2025-10-07,"コンビニウェア・日用品","靴下",9900171,1,159,159
141108,2025-10-07,"コンビニウェア・日用品","靴下",9900172,1,388,388
141121,2025-10-07,"お弁当・おむすび","定番弁当",9908464,2,307,614
141121,2025-10-07,"パン・デザート","シュークリーム",9900227,2,650,1300
141121,2025-10-07,"コンビニウェア・日用品","除菌グッズ",9918405,1,307,307
141229,2025-10-07,"コーヒー","ブレンドコーヒー",9900700,1,210,210
141285,2025-10-07,"コーヒー","アイスコーヒー",9900450,2,47,94
141313,2025-10-07,"コンビニウェア・日用品","靴下",9900171,1,159,159
141316,2025-10-07,"コンビニウェア・日用品","靴下",9900171,1,159,159
141354,2025-10-07,"飲料・お酒","清涼飲料",9900203,5,400,2000
141354,2025-10-07,"飲料・お酒","清涼飲料",9900204,5,400,2000
141373,2025-10-07,"飲料・お酒","清涼飲料",9900724,1,323,323
141401,2025-10-07,"飲料・お酒","缶ビール",9903112,1,307,307
141401,2025-10-07,"パン・デザート","プリン",9908904,1,883,883
141401,2025-10-07,"コーヒー","アイスコーヒー",9938725,1,328,328
141401,2025-10-07,"日配品・冷凍食品","カップアイス",9900882,1,256,256
141471,2025-10-07,"コンビニウェア・日用品","靴下",9900208,2,198,396
141511,2025-10-07,"飲料・お酒","チューハイ",9906958,1,270,270
141511,2025-10-07,"パン・デザート","プリン",9900524,6,590,3540
141511,2025-10-07,"コンビニウェア・日用品","靴下",9918767,3,750,2250
141516,2025-10-07,"コーヒー","ブレンドコーヒー",9900177,5,600,3000
141528,2025-10-07,"飲料・お酒","チューハイ",9932077,2,100,200
141529,2025-10-07,"パン・デザート","サンドイッチ",9937331,1,101,101
141529,2025-10-07,"パン・デザート","サンドイッチ",9908035,1,502,502
141562,2025-10-07,"コーヒー","ブレンドコーヒー",9905426,1,325,325
141592,2025-10-07,"パン・デザート","どら焼き",9923083,1,789,789
141659,2025-10-07,"お弁当・おむすび","惣菜おにぎり",9902316,1,169,169
141680,2025-10-07,"パン・デザート","シュークリーム",9900227,2,650,1300
141731,2025-10-07,"飲料・お酒","清涼飲料",9900416,1,480,480
141731,2025-10-07,"コンビニウェア・日用品","靴下",9902837,2,169,338
141753,2025-10-07,"コーヒー","ブレンドコーヒー",9904893,5,123,615
141761,2025-10-07,"日配品・冷凍食品","カップアイス",9900388,2,169,338
141855,2025-10-07,"パン・デザート","プリン",9901147,1,140,140
141855,2025-10-07,"コンビニウェア・日用品","靴下",9900208,1,198,198
141892,2025-10-07,"コンビニウェア・日用品","靴下",9900171,1,159,159
