顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140051,2025-10-02,"パン・デザート","パフェ",9900607,2,304,608
140067,2025-10-02,"コンビニウェア・日用品","靴下",9900011,1,306,306
140122,2025-10-02,"飲料・お酒","清涼飲料",9901556,1,385,385
140147,2025-10-02,"パン・デザート","シュークリーム",9900227,5,820,4100
140184,2025-10-02,"パン・デザート","シュークリーム",9910127,1,370,370
140184,2025-10-02,"日配品・冷凍食品","カップアイス",9907145,3,429,1287
140184,2025-10-02,"日配品・冷凍食品","カップアイス",9908701,1,762,762
140184,2025-10-02,"日配品・冷凍食品","カップアイス",9901058,1,111,111
140190,2025-10-02,"ホットスナック","チキン",9907576,1,246,246
140198,2025-10-02,"お弁当・おむすび","惣菜おにぎり",9900376,1,539,539
140198,2025-10-02,"お弁当・おむすび","惣菜おにぎり",9900376,1,539,539
140198,2025-10-02,"コンビニウェア・日用品","ノート",9901230,2,466,932
140199,2025-10-02,"パン・デザート","サンドイッチ",9901967,7,730,5110
140217,2025-10-02,"飲料・お酒","缶ビール",9925663,1,152,152
140217,2025-10-02,"パン・デザート","シュークリーム",9932584,1,128,128
140217,2025-10-02,"日配品・冷凍食品","カップアイス",9910241,1,78,78
140258,2025-10-02,"パン・デザート","サンドイッチ",9904370,1,402,402
140381,2025-10-02,"コンビニウェア・日用品","靴下",9900208,2,178,356
140382,2025-10-02,"日配品・冷凍食品","カップアイス",9901590,1,126,126
140454,2025-10-02,"ホットスナック","チキン",9901488,1,143,143
140454,2025-10-02,"コンビニウェア・日用品","靴下",9900208,5,178,890
140454,2025-10-02,"コンビニウェア・日用品","靴下",9900171,1,159,159
140464,2025-10-02,"飲料・お酒","天然水",9912724,1,144,144
140486,2025-10-02,"ホットスナック","チキン",9914213,1,196,196
140486,2025-10-02,"日配品・冷凍食品","冷凍野菜・フルーツ",9909085,1,294,294
140486,2025-10-02,"コーヒー","ブレンドコーヒー",9901196,1,100,100
140497,2025-10-02,"ホットスナック","チキン",9914018,1,372,372
140497,2025-10-02,"コーヒー","アイスコーヒー",9905704,1,256,256
140497,2025-10-02,"コーヒー","アイスコーヒー",9900167,1,205,205
140497,2025-10-02,"パン・デザート","ケーキ",9905752,1,216,216
140497,2025-10-02,"パン・デザート","ケーキ",9903625,1,184,184
140497,2025-10-02,"パン・デザート","ケーキ",9908180,1,427,427
140497,2025-10-02,"日配品・冷凍食品","冷凍スイーツ",9916438,1,112,112
140538,2025-10-02,"コンビニウェア・日用品","ノート",9901078,1,638,638
140587,2025-10-02,"パン・デザート","ケーキ",9903265,3,430,1290
140587,2025-10-02,"パン・デザート","惣菜パン",9907990,2,339,678
140587,2025-10-02,"コンビニウェア・日用品","靴下",9900172,1,398,398
140587,2025-10-02,"日配品・冷凍食品","カップアイス",9901779,5,288,1440
140648,2025-10-02,"コンビニウェア・日用品","靴下",9902917,2,100,200
140672,2025-10-02,"パン・デザート","プリン",9900888,1,130,130
140672,2025-10-02,"コンビニウェア・日用品","靴下",9900633,1,150,150
140672,2025-10-02,"コンビニウェア・日用品","靴下",9900635,1,150,150
140683,2025-10-02,"飲料・お酒","缶ビール",9918562,1,164,164
140683,2025-10-02,"パン・デザート","プリン",9912788,1,699,699
140694,2025-10-02,"コーヒー","アイスコーヒー",9901074,2,790,1580
140709,2025-10-02,"お弁当・おむすび","定番弁当",9906978,1,480,480
140709,2025-10-02,"コーヒー","アイスコーヒー",9900166,2,650,1300
140709,2025-10-02,"コーヒー","アイスコーヒー",9900520,1,120,120
140716,2025-10-02,"コーヒー","ブレンドコーヒー",9901062,1,340,340
140722,2025-10-02,"日配品・冷凍食品","カップアイス",9904040,1,175,175
140722,2025-10-02,"コンビニウェア・日用品","靴下",9900171,1,159,159
140774,2025-10-02,"お弁当・おむすび","直巻きおにぎり",9905106,2,185,370
140774,2025-10-02,"お弁当・おむすび","直巻きおにぎり",9905109,4,243,972
140774,2025-10-02,"お弁当・おむすび","直巻きおにぎり",9905164,1,66,66
140774,2025-10-02,"お弁当・おむすび","直巻きおにぎり",9905113,1,55,55
140774,2025-10-02,"コンビニウェア・日用品","靴下",9900172,1,398,398
140774,2025-10-02,"日配品・冷凍食品","カップアイス",9900318,1,94,94
140784,2025-10-02,"パン・デザート","シュークリーム",9900650,1,360,360
140853,2025-10-02,"コーヒー","アイスカフェラテ",9903767,3,498,1494
140853,2025-10-02,"コンビニウェア・日用品","靴下",9900171,1,159,159
140856,2025-10-02,"パン・デザート","タルト",9900904,6,248,1488
140856,2025-10-02,"パン・デザート","サンドイッチ",9900277,2,847,1694
140930,2025-10-02,"パン・デザート","シュークリーム",9901983,1,104,104
140930,2025-10-02,"コンビニウェア・日用品","靴下",9900171,8,159,1272
140931,2025-10-02,"お弁当・おむすび","ボリューム丼",9919247,2,690,1380
140931,2025-10-02,"飲料・お酒","清涼飲料",9900200,2,700,1400
140931,2025-10-02,"ホットスナック","チキン",9902738,3,517,1551
140947,2025-10-02,"パン・デザート","シュークリーム",9900217,1,698,698
140985,2025-10-02,"パン・デザート","プリン",9923948,1,193,193
140985,2025-10-02,"コンビニウェア・日用品","靴下",9926621,1,830,830
140985,2025-10-02,"日配品・冷凍食品","サラダチキン",9938847,1,808,808
141036,2025-10-02,"飲料・お酒","清涼飲料",9900251,5,204,1020
141036,2025-10-02,"パン・デザート","ケーキ",9938912,5,140,700
